file_name,text
0.jpg,Kitchen dining space earthy tones terracotta contemporary furnishings mid century
1.jpg,Dining room space earthy tones contemporary furnishings mid century
2.jpg,Art Deco Living Room
3.jpg,Auburn Art Deco Bedroom
4.jpg,Bachelor pad living room Sleek black grey concrete elements
5.jpg,Beachy creamy furnishings bright ambiance airy and open
6.jpg,Beachy patio balcony living space wood slats cream brown furnishing warm airy
7.jpg,Bedroom Blue
8.jpg,Blue Taupe Traditional Bedroom
9.jpg,Blush Living Room
10.jpg,Botanical bedroom earthy creamy whites wallpaper soft light
11.jpg,Charcoal Industrial Bedroom
12.jpg,Chic Art Deco Dining Room
13.jpg,Chic Traditional
14.jpg,Chic living room creamy whites sophisticated space natural light
15.jpg,Compact and cozy open space retreat navy blue and cool tones silver accents
16.jpg,Contemporary chic studio apartment industrial style concrete walls furniture
17.jpg,Contemporary living space earthy soft plush furnishings open atmosphere
18.jpg,Contemporary penthouse artist den earthy terracotta large windows natural light
19.jpg,Contemporary studio apartment modern aesthetic nature-inspired hues earthy organic
20.jpg,Coral Bohemain Kids Bedroom
21.jpg,Dark Moody Interior
22.jpg,Elegant dining room Black creamy white furnishings modern art natural light
23.jpg,Farmhouse Dining Area
24.jpg,Forest Green Mid Century Modern Dining Room
25.jpg,Graphite Contemporary Dining Area
26.jpg,Graphite Contemporary Dining Area 2
27.jpg,Light Blue Coastal Bedroom
28.jpg,Light Breezy Scandinavian Living Room
29.jpg,Light Breezy Scandinavian Living Room 2
30.jpg,Linen Scandinavian Bedroom
31.jpg,Linen Scandinavian Dining Area
32.jpg,Living Room Neutral
33.jpg,Mauve Modern Office
34.jpg,Mid Century Modern
35.jpg,Mid century living room furniture earthy large windows natural light
36.jpg,Mid century living room earthy organic greenery
37.jpg,Minimalistic Living Room
38.jpg,Modern Blue Taupe Bedroom
39.jpg,Modern Boho Living Room
40.jpg,Modern Coastal Dining Room
41.jpg,Modern chic basement living room with creamy tones and black accents
42.jpg,Modern dining room with soft neutrals lighting neutral fabrics
43.jpg,Modern living space mustard yellow chairs contemporary mid century
44.jpg,Modern rustic charm in a sleek studio grey moody hues elegant cozy ambiance
45.jpg,Modern studio apartment colorful furniture neutral flooring modern lighting
46.jpg,Natural Coastal Living Room
47.jpg,Navy Modern Living Room
48.jpg,Olive Green Contemporary Living Room
49.jpg,Pastel Modern Living Room
50.jpg,Pink Orange Abstract Living Room
51.jpg,Posh Dining Area
52.jpg,Powder Blue Coastal Kids Room
53.jpg,Rustic
54.jpg,Sage Bohemian Master
55.jpg,Senior living bedroom calming grey tones organic
56.jpg,Simple Minimalistic Bedroom
57.jpg,Slate Industrial Living Room
58.jpg,Sleek sophisticated kitchen grey blue silver accents
59.jpg,Small Modern Office compact space
60.jpg,Sophisticated entertainment space pool table mid century earthy
61.jpg,Spring inspired living room soft pastels botanical prints light airy fabrics
62.jpg,Tangerine Bohemian Bedroom
63.jpg,Teal Dining Room Kitchen
64.jpg,Teal Pink Art Deco Bedroom
65.jpg,Terracota Boho Dining Area
66.jpg,Textured Bohemian Dining Room
67.jpg,Timeless meets modern studio apartment cool tones hotel-inspired class
68.jpg,Warm Bohemian Living Room
69.jpg,West African restaurant bar Earthy woods greenery local art warm lighting
70.jpg,White Farmhouse Home Office
71.jpg,Glamorous chic Black blush pink furnishings gold accents modern art natural light
